loading SMNIST ...
train: 60000, test: 10000
building net ...
net params: {'total': 226026, 'layer_0': 8704, 'layer_1': 82432, 'layer_2': 134880, 'pool_bias': 10}
computing train features ...
  done in 404.7s, shape: torch.Size([60000, 240])
  feature stats: mean=0.3869, std=0.3690, zero_rate=0.0274
computing test features ...
  done in 70.9s, shape: torch.Size([10000, 240])

=== Linear head ===
  ep 125  t=  0.1s  train_acc=0.5439  test_acc=0.5338
  ep 126  t=  0.1s  train_acc=0.5638  test_acc=0.5577
  ep 127  t=  0.1s  train_acc=0.5597  test_acc=0.5522
  ep 128  t=  0.1s  train_acc=0.5596  test_acc=0.5526
  ep 129  t=  0.1s  train_acc=0.5594  test_acc=0.5528
  ep 130  t=  0.1s  train_acc=0.5680  test_acc=0.5608
  ep 131  t=  0.1s  train_acc=0.5616  test_acc=0.5533
  ep 132  t=  0.1s  train_acc=0.5621  test_acc=0.5527
  ep 133  t=  0.1s  train_acc=0.5523  test_acc=0.5418
  ep 134  t=  0.1s  train_acc=0.5556  test_acc=0.5490
  ep 135  t=  0.1s  train_acc=0.5637  test_acc=0.5512
  ep 136  t=  0.1s  train_acc=0.5525  test_acc=0.5419
  ep 137  t=  0.1s  train_acc=0.5589  test_acc=0.5487
  ep 138  t=  0.1s  train_acc=0.5732  test_acc=0.5653
  ep 139  t=  0.1s  train_acc=0.5663  test_acc=0.5613
  ep 140  t=  0.1s  train_acc=0.5680  test_acc=0.5614
  ep 141  t=  0.1s  train_acc=0.5565  test_acc=0.5472
  ep 142  t=  0.1s  train_acc=0.5694  test_acc=0.5612
  ep 143  t=  0.1s  train_acc=0.5707  test_acc=0.5655
  ep 144  t=  0.1s  train_acc=0.5616  test_acc=0.5534
  ep 145  t=  0.1s  train_acc=0.5508  test_acc=0.5422
  ep 146  t=  0.1s  train_acc=0.5545  test_acc=0.5448
  ep 147  t=  0.1s  train_acc=0.5529  test_acc=0.5404
  ep 148  t=  0.1s  train_acc=0.5548  test_acc=0.5461
  ep 149  t=  0.1s  train_acc=0.5622  test_acc=0.5563
  ep 150  t=  0.1s  train_acc=0.5626  test_acc=0.5504
  ep 151  t=  0.1s  train_acc=0.5509  test_acc=0.5411
  ep 152  t=  0.1s  train_acc=0.5612  test_acc=0.5493
  ep 153  t=  0.1s  train_acc=0.5619  test_acc=0.5538
  ep 154  t=  0.1s  train_acc=0.5536  test_acc=0.5417
  ep 155  t=  0.1s  train_acc=0.5697  test_acc=0.5593
  ep 156  t=  0.1s  train_acc=0.5605  test_acc=0.5503
  ep 157  t=  0.1s  train_acc=0.5530  test_acc=0.5425
